m,downloads,organicDl,paidDl,vetDl,clinics,activations,mau,payingStock,convAdds,grossRev,storeFee,netRev,cogs,grossProfit,payroll,marketing,opex,netBurn,cumBurn,arrRunRate,cumDownloads
39.00,39349.34,22178.02,0.00,17171.32,572.38,18315.43,39713.88,3231.64,504.15,14518.97,0.15,12341.12,6966.38,5374.74,93000.00,18309.43,122309.43,-116934.69,-2992187.06,174227.62,382931.14
40.00,44557.84,23952.26,0.00,20605.58,686.85,20913.97,45156.56,3646.25,576.19,16381.70,0.15,13924.44,7876.90,6047.54,93000.00,21171.32,125171.32,-119123.77,-3111310.83,196580.37,427488.98
41.00,50595.14,25868.44,0.00,24726.70,824.22,23947.06,51474.78,4124.27,660.33,18529.33,0.15,15749.93,8935.87,6814.06,93000.00,24605.58,128605.58,-121791.53,-3233102.35,222351.96,478084.11
42.00,57609.95,27937.91,0.00,29672.04,989.07,27494.79,58826.60,4676.88,758.82,21012.05,0.15,17860.24,10170.30,7689.94,93000.00,28726.70,132726.70,-125036.76,-3358139.11,252144.62,535694.07
43.00,60000.00,30000.00,0.00,30000.00,1000.00,28500.00,65577.31,5317.35,874.32,23889.53,0.15,20306.10,11033.50,9272.60,93000.00,29000.00,133000.00,-123727.40,-3481866.51,286674.40,595694.07
44.00,60000.00,30000.00,0.00,30000.00,1000.00,28500.00,71419.72,6017.35,965.87,27034.47,0.15,22979.30,11676.17,11303.13,93000.00,29000.00,133000.00,-121696.87,-3603563.38,324413.60,655694.07
45.00,60000.00,30000.00,0.00,30000.00,1000.00,28500.00,76622.07,6734.76,1018.27,30257.59,0.15,25718.95,12248.43,13470.52,93000.00,29000.00,133000.00,-119529.48,-3723092.86,363091.03,715694.07
46.00,60000.00,30000.00,0.00,30000.00,1000.00,28500.00,81373.37,7443.03,1045.01,33439.66,0.15,28423.71,12771.07,15652.64,93000.00,29000.00,133000.00,-117347.36,-3840440.22,401275.98,775694.07
47.00,60000.00,30000.00,0.00,30000.00,1000.00,28500.00,85806.83,8126.94,1056.06,36512.32,0.15,31035.47,13258.75,17776.72,93000.00,29000.00,133000.00,-115223.28,-3955663.50,438147.79,835694.07
48.00,60000.00,30000.00,0.00,30000.00,1000.00,28500.00,90016.31,8780.16,1059.57,39447.07,0.15,33530.01,13721.79,19808.22,93000.00,29000.00,133000.00,-113191.78,-4068855.28,473364.87,895694.07
